year,season,fishery,area,index
1979,3,29,1,7.20458365762978e-07
1979,4,29,1,9.98185303195041e-07
1980,1,29,1,6.73053661592495e-07
1980,2,29,1,5.43025116219097e-07
1980,3,29,1,5.68457971429677e-07
1980,4,29,1,9.33548422948737e-07
1981,1,29,1,6.46472934732192e-07
1981,2,29,1,3.55392566882416e-07
1981,3,29,1,6.54424761630179e-07
1981,4,29,1,9.25085130743164e-07
1982,1,29,1,6.79345971323156e-07
1982,2,29,1,5.12203724993435e-07
1982,3,29,1,6.81950126757933e-07
1982,4,29,1,1.03171065020307e-06
1983,1,29,1,6.66636807864729e-07
1983,2,29,1,5.07471802581864e-07
1983,3,29,1,6.65602128857509e-07
1983,4,29,1,9.13847074826444e-07
1984,1,29,1,7.20857617744086e-07
1984,2,29,1,5.18794521531191e-07
1984,3,29,1,7.13079387407722e-07
1984,4,29,1,8.08288384575227e-07
1985,1,29,1,7.25759458820172e-07
1985,2,29,1,3.48196138388112e-07
1985,3,29,1,6.14286424247026e-07
1985,4,29,1,8.60958677976406e-07
1986,1,29,1,7.27810112136501e-07
1986,2,29,1,6.28033784942919e-07
1986,3,29,1,7.23370376670245e-07
1986,4,29,1,9.77474737703796e-07
1987,1,29,1,8.71150561050079e-07
1987,2,29,1,5.23769193258172e-07
1987,3,29,1,5.42640982055856e-07
1987,4,29,1,1.0479373680916e-06
1988,1,29,1,8.28201068786266e-07
1988,2,29,1,5.29579651459836e-07
1988,3,29,1,5.41427416524098e-07
1988,4,29,1,8.92348182600737e-07
1989,1,29,1,6.68155542598749e-07
1989,2,29,1,4.33377008341372e-07
1989,3,29,1,5.94473020469912e-07
1989,4,29,1,1.07589784290546e-06
1990,1,29,1,7.81364938052629e-07
1990,2,29,1,4.88502408114231e-07
1990,3,29,1,7.07034614935111e-07
1990,4,29,1,1.32484839358269e-06
1991,1,29,1,9.12779397174114e-07
1991,2,29,1,5.85326467788006e-07
1991,3,29,1,7.21813607104632e-07
1991,4,29,1,8.95375354333879e-07
1992,1,29,1,8.24877538542763e-07
1992,2,29,1,5.73355211856463e-07
1992,3,29,1,7.89824511514829e-07
1992,4,29,1,1.30673230915182e-06
1993,1,29,1,1.01084626069074e-06
1993,2,29,1,5.15885013401952e-07
1993,3,29,1,5.89232981961864e-07
1993,4,29,1,9.74168645238297e-07
1994,1,29,1,8.03369499828333e-07
1994,2,29,1,4.97528572396902e-07
1994,3,29,1,7.03351506432368e-07
1994,4,29,1,1.00276987133764e-06
1995,1,29,1,8.54531589006008e-07
1995,2,29,1,5.47245916903001e-07
1995,3,29,1,5.43941265869847e-07
1995,4,29,1,6.62549384480678e-07
1996,1,29,1,6.17495704212581e-07
1996,2,29,1,3.84459080905365e-07
1996,3,29,1,5.75111077065407e-07
1996,4,29,1,1.21464506152676e-06
1997,1,29,1,8.01963703216721e-07
1997,2,29,1,4.06238533391975e-07
1997,3,29,1,5.9231382389821e-07
1997,4,29,1,1.10104188252459e-06
1998,1,29,1,8.75882861993895e-07
1998,2,29,1,5.17788391661808e-07
1998,3,29,1,5.43923370118307e-07
1998,4,29,1,7.88499547102454e-07
1999,1,29,1,6.5317938672123e-07
1999,2,29,1,3.77767347083457e-07
1999,3,29,1,4.70196926897789e-07
1999,4,29,1,8.52249781964447e-07
2000,1,29,1,6.87411067380471e-07
2000,2,29,1,3.9883013168251e-07
2000,3,29,1,4.11213417548535e-07
2000,4,29,1,6.10141568852814e-07
2001,1,29,1,4.80686889161159e-07
2001,2,29,1,2.93627566201502e-07
2001,3,29,1,2.78133981082972e-07
2001,4,29,1,7.7116967412653e-07
2002,1,29,1,5.78946550303815e-07
2002,2,29,1,4.05413572673084e-07
2002,3,29,1,4.38763670272741e-07
2002,4,29,1,9.75616967960661e-07
2003,1,29,1,6.35108530011657e-07
2003,2,29,1,4.16715226949116e-07
2003,3,29,1,4.76191943025738e-07
2003,4,29,1,7.2480107317685e-07
2004,1,29,1,4.29161744606418e-07
2004,2,29,1,3.3359416836513e-07
2004,3,29,1,5.61451948343878e-07
2004,4,29,1,8.50886151344211e-07
2005,1,29,1,5.88196529032767e-07
2005,2,29,1,3.0155987338348e-07
2005,3,29,1,4.99464969093576e-07
2005,4,29,1,7.13488853699122e-07
2006,1,29,1,4.6701430477775e-07
2006,2,29,1,4.08918994744682e-07
2006,3,29,1,4.24202989679063e-07
2006,4,29,1,7.25796600115325e-07
2007,1,29,1,5.95433188770624e-07
2007,2,29,1,2.5756246653013e-07
2007,3,29,1,3.94331459751236e-07
2007,4,29,1,8.18862768825211e-07
2008,1,29,1,5.68306950191064e-07
2008,2,29,1,2.64724258928993e-07
2008,3,29,1,2.28321289019262e-07
2008,4,29,1,5.11361347759817e-07
2009,1,29,1,3.62758403078927e-07
2009,2,29,1,2.24785805376296e-07
2009,3,29,1,3.64699347556113e-07
2009,4,29,1,7.09368072959514e-07
2010,1,29,1,5.12084862392357e-07
2010,2,29,1,2.35100706986965e-07
2010,3,29,1,2.5094709285424e-07
2010,4,29,1,8.40339485463783e-07
2011,1,29,1,5.81491695138325e-07
2011,2,29,1,2.72543204288051e-07
2011,3,29,1,2.74792100948801e-07
2011,4,29,1,5.2630400750243e-07
2012,1,29,1,4.38531700387216e-07
2012,2,29,1,2.14132374783236e-07
2012,3,29,1,3.38339917374104e-07
2012,4,29,1,6.0228774562918e-07
2013,1,29,1,3.95195799924089e-07
2013,2,29,1,2.47704118880394e-07
2013,3,29,1,2.42742006170195e-07
2013,4,29,1,6.68468414674547e-07
2014,1,29,1,5.16866291053183e-07
2014,2,29,1,3.29836619764201e-07
2014,3,29,1,5.04969001748283e-07
2014,4,29,1,9.74409671483154e-07
2015,1,29,1,7.13564588521861e-07
2015,2,29,1,3.05039286199964e-07
2015,3,29,1,3.36126057652313e-07
2015,4,29,1,7.2486595145198e-07
2016,1,29,1,4.86076293324558e-07
2016,2,29,1,3.21955189398336e-07
2016,3,29,1,1.94552150534659e-07
2016,4,29,1,5.70805703270477e-07
2017,1,29,1,4.00719628712707e-07
2017,2,29,1,1.76861290110955e-07
2017,3,29,1,2.55935765520145e-07
2017,4,29,1,5.81039753257521e-07
2018,1,29,1,3.83602410116866e-07
2018,2,29,1,2.05047895955759e-07
2018,3,29,1,2.50535516684448e-07
2018,4,29,1,6.660520928587e-07
2019,1,29,1,5.43562318883016e-07
2019,2,29,1,2.28399047069441e-07
2019,3,29,1,2.68650148806217e-07
2019,4,29,1,6.33282220636611e-07
2020,1,29,1,5.39188177567543e-07
2020,2,29,1,1.66233589870015e-07
2020,3,29,1,2.47375304154088e-07
2020,4,29,1,6.50272505596562e-07
2021,1,29,1,5.03496412396057e-07
2021,2,29,1,1.7721141879988e-07
2021,3,29,1,2.39744281323866e-07
2021,4,29,1,5.28888783433435e-07
2022,1,29,1,3.50177300492328e-07
2022,2,29,1,1.6621967638073e-07
2022,3,29,1,1.76054314039596e-07
2022,4,29,1,5.50983635669896e-07
2023,1,29,1,4.16495699715134e-07
2023,2,29,1,1.41511292793883e-07
2023,3,29,1,3.02877680331486e-07
2023,4,29,1,6.55536620713559e-07
2024,1,29,1,5.54306399144656e-07
2024,2,29,1,3.26097082825108e-07
2024,3,29,1,3.23396494596534e-07
2024,4,29,1,4.82851329561975e-07
1952,1,30,2,1.76325392843013e-06
1952,2,30,2,1.23376005850121e-06
1952,3,30,2,1.7124243999947e-06
1952,4,30,2,2.20693462907076e-06
1953,1,30,2,1.65535302740909e-06
1953,2,30,2,1.58635116298912e-06
1953,3,30,2,2.67556121753469e-06
1953,4,30,2,2.47056247115482e-06
1954,1,30,2,1.82275185359956e-06
1954,2,30,2,1.55851688416266e-06
1954,3,30,2,2.12664898715211e-06
1954,4,30,2,1.92636258320646e-06
1955,1,30,2,1.77654412380488e-06
1955,2,30,2,1.28670722970873e-06
1955,3,30,2,1.57025760342317e-06
1955,4,30,2,1.77766420196718e-06
1956,1,30,2,1.80305219441332e-06
1956,2,30,2,1.48718576793278e-06
1956,3,30,2,1.86386520410911e-06
1956,4,30,2,1.81187690554478e-06
1957,1,30,2,1.29031655964317e-06
1957,2,30,2,1.47272616958142e-06
1957,3,30,2,2.49834857461972e-06
1957,4,30,2,1.95371216577557e-06
1958,1,30,2,1.66103024548835e-06
1958,2,30,2,1.40676606058075e-06
1958,3,30,2,2.34168921847893e-06
1958,4,30,2,2.0918767503417e-06
1959,1,30,2,2.54398955367979e-06
1959,2,30,2,1.39084750451941e-06
1959,3,30,2,9.83369084474311e-07
1959,4,30,2,1.4463243652796e-06
1960,1,30,2,1.36050926104527e-06
1960,2,30,2,9.04756000606703e-07
1960,3,30,2,2.29829014710737e-06
1960,4,30,2,8.68971517994894e-07
1961,1,30,2,1.00785892232249e-06
1961,2,30,2,8.70544554105791e-07
1961,3,30,2,6.60355009458406e-07
1961,4,30,2,9.03709890036481e-07
1962,1,30,2,9.58210436256365e-07
1962,2,30,2,1.06099776545779e-06
1962,3,30,2,1.27114176986902e-06
1962,4,30,2,9.13508929223793e-07
1963,1,30,2,9.67899945528374e-07
1963,2,30,2,6.99800752156602e-07
1963,3,30,2,8.72033868730642e-07
1963,4,30,2,8.52039944769266e-07
1964,1,30,2,7.67608630247666e-07
1964,2,30,2,9.16002296922683e-07
1964,3,30,2,9.8471810481136e-07
1964,4,30,2,8.41383897796132e-07
1965,1,30,2,1.04626234011453e-06
1965,2,30,2,7.65794890435802e-07
1965,3,30,2,1.05463291715434e-06
1965,4,30,2,8.43083893789352e-07
1966,1,30,2,9.31341607548874e-07
1966,2,30,2,8.35401616641494e-07
1966,3,30,2,9.89116194471926e-07
1966,4,30,2,7.90410855672092e-07
1967,1,30,2,9.38182387603976e-07
1967,2,30,2,6.85137669943724e-07
1967,3,30,2,8.14155614242337e-07
1967,4,30,2,7.83307897530374e-07
1968,1,30,2,7.94780834019423e-07
1968,2,30,2,6.36967084965955e-07
1968,3,30,2,9.51810147925124e-07
1968,4,30,2,8.82892272667595e-07
1969,1,30,2,7.21167175875874e-07
1969,2,30,2,6.41133543416655e-07
1969,3,30,2,9.74539160390604e-07
1969,4,30,2,7.9754813029154e-07
1970,1,30,2,8.99880025286867e-07
1970,2,30,2,6.80320134169354e-07
1970,3,30,2,9.42516179472728e-07
1970,4,30,2,6.47616589591143e-07
1971,1,30,2,9.79216491291579e-07
1971,2,30,2,7.48432358737357e-07
1971,3,30,2,7.18909555172667e-07
1971,4,30,2,8.42323569844813e-07
1972,1,30,2,1.06060893874961e-06
1972,2,30,2,7.76237259129127e-07
1972,3,30,2,7.76045424297606e-07
1972,4,30,2,1.28907213916193e-06
1973,1,30,2,1.39747093119538e-06
1973,2,30,2,1.06045319568902e-06
1973,3,30,2,1.14075419021204e-06
1973,4,30,2,1.13855314449437e-06
1974,1,30,2,7.62759172342534e-07
1974,2,30,2,7.90964179999358e-07
1974,3,30,2,8.76309241681668e-07
1974,4,30,2,8.4934324695937e-07
1975,1,30,2,9.39256203607829e-07
1975,2,30,2,9.27078973110827e-07
1975,3,30,2,7.99117621329492e-07
1975,4,30,2,1.0636579161474e-06
1976,1,30,2,1.01207020801222e-06
1976,2,30,2,9.52734139082295e-07
1976,3,30,2,7.97256211883847e-07
1976,4,30,2,8.95047478178918e-07
1977,1,30,2,8.91216076033546e-07
1977,2,30,2,8.89120299718104e-07
1977,3,30,2,9.53602638141651e-07
1977,4,30,2,1.06554620158711e-06
1978,1,30,2,9.16162951410499e-07
1978,2,30,2,7.76034681766943e-07
1978,3,30,2,9.49214781482304e-07
1978,4,30,2,9.83997999800705e-07
1979,1,30,2,9.07972101935385e-07
1979,2,30,2,8.99327109730631e-07
1979,3,30,2,6.32378325524358e-07
1979,4,30,2,7.65090408803972e-07
1980,1,30,2,8.77206141101043e-07
1980,2,30,2,5.76038321341856e-07
1980,3,30,2,7.04122537108987e-07
1980,4,30,2,6.92657858158705e-07
1981,1,30,2,6.82625845688347e-07
1981,2,30,2,5.73188816187608e-07
1981,3,30,2,5.89100988184871e-07
1981,4,30,2,7.36387454147949e-07
1982,1,30,2,5.94938337252558e-07
1982,2,30,2,5.80712512343018e-07
1982,3,30,2,5.91484376602697e-07
1982,4,30,2,5.78839266746367e-07
1983,1,30,2,5.03647318087557e-07
1983,2,30,2,6.83808582871942e-07
1983,3,30,2,7.22955063186642e-07
1983,4,30,2,6.40743766350944e-07
1984,1,30,2,6.86788829683984e-07
1984,2,30,2,8.04894828090464e-07
1984,3,30,2,6.54737399772678e-07
1984,4,30,2,4.62649724195912e-07
1985,1,30,2,4.35134523498409e-07
1985,2,30,2,5.01266393778401e-07
1985,3,30,2,6.42126156601847e-07
1985,4,30,2,6.4695742974478e-07
1986,1,30,2,6.99505533583407e-07
1986,2,30,2,6.43767894792065e-07
1986,3,30,2,6.7383473533755e-07
1986,4,30,2,9.21042619989164e-07
1987,1,30,2,1.13660340593424e-06
1987,2,30,2,1.24958926514288e-06
1987,3,30,2,1.39672447373064e-06
1987,4,30,2,9.55740187038255e-07
1988,1,30,2,1.06117338034484e-06
1988,2,30,2,8.02887869709203e-07
1988,3,30,2,6.02752286671741e-07
1988,4,30,2,1.05584828066255e-06
1989,1,30,2,1.29232271575294e-06
1989,2,30,2,1.29913115428722e-06
1989,3,30,2,9.05998738673317e-07
1989,4,30,2,1.41719251797426e-06
1990,1,30,2,1.40484801154207e-06
1990,2,30,2,1.01747855507514e-06
1990,3,30,2,8.07434819845126e-07
1990,4,30,2,1.1326415530785e-06
1991,1,30,2,7.77885662397526e-07
1991,2,30,2,9.10493691202034e-07
1991,3,30,2,8.45670187527056e-07
1991,4,30,2,1.1205068270941e-06
1992,1,30,2,1.28211269053465e-06
1992,2,30,2,1.19379695224125e-06
1992,3,30,2,8.36662430027474e-07
1992,4,30,2,8.1019334200003e-07
1993,1,30,2,9.53372840099076e-07
1993,2,30,2,1.01207011402438e-06
1993,3,30,2,6.69922706127703e-07
1993,4,30,2,7.17505116908088e-07
1994,1,30,2,9.51594474613093e-07
1994,2,30,2,8.61422134018978e-07
1994,3,30,2,9.32330719373288e-07
1994,4,30,2,6.8917921518793e-07
1995,1,30,2,8.41724052552449e-07
1995,2,30,2,6.75918512179388e-07
1995,3,30,2,6.51904818757621e-07
1995,4,30,2,4.21975850450011e-07
1996,1,30,2,5.82377912178216e-07
1996,2,30,2,6.9935410413485e-07
1996,3,30,2,7.06364982216029e-07
1996,4,30,2,8.25464013423599e-07
1997,1,30,2,8.50349039582065e-07
1997,2,30,2,1.0373311112878e-06
1997,3,30,2,5.91760539707994e-07
1997,4,30,2,5.96895150441526e-07
1998,1,30,2,8.51036934266931e-07
1998,2,30,2,1.26309328903874e-06
1998,3,30,2,8.9233368964379e-07
1998,4,30,2,5.55489767593109e-07
1999,1,30,2,1.16324169916975e-06
1999,2,30,2,7.39776980837398e-07
1999,3,30,2,1.10015119500489e-06
1999,4,30,2,1.37503109564535e-06
2000,1,30,2,9.28639075348794e-07
2000,2,30,2,5.39667124681597e-07
2000,3,30,2,1.08461944260211e-06
2000,4,30,2,7.96835839780785e-07
2001,1,30,2,6.41857235262751e-07
2001,2,30,2,4.54358934772447e-07
2001,3,30,2,4.42365324413393e-07
2001,4,30,2,6.77449804750435e-07
2002,1,30,2,1.03046910825671e-06
2002,2,30,2,9.32868884748435e-07
2002,3,30,2,3.56174585302671e-07
2002,4,30,2,7.74847672761762e-07
2003,1,30,2,6.94884275566778e-07
2003,2,30,2,6.49263865784964e-07
2003,3,30,2,6.96414238298442e-07
2003,4,30,2,4.41653473207752e-07
2004,1,30,2,6.10295224349064e-07
2004,2,30,2,5.10737587906617e-07
2004,3,30,2,2.41921414014651e-07
2004,4,30,2,4.5942869425883e-07
2005,1,30,2,6.06269590765916e-07
2005,2,30,2,6.8645880338626e-07
2005,3,30,2,3.24992294542735e-07
2005,4,30,2,4.29085204891603e-07
2006,1,30,2,7.45240785713335e-07
2006,2,30,2,5.07288888399648e-07
2006,3,30,2,6.74151171606479e-07
2006,4,30,2,5.73508859490095e-07
2007,1,30,2,4.12577856618406e-07
2007,2,30,2,3.34652922486112e-07
2007,3,30,2,2.3307574710134e-07
2007,4,30,2,3.17195925451936e-07
2008,1,30,2,5.93874945983837e-07
2008,2,30,2,4.49888606430913e-07
2008,3,30,2,6.4373414118844e-07
2008,4,30,2,4.19180208699289e-07
2009,1,30,2,3.13517473512999e-07
2009,2,30,2,3.12839809973555e-07
2009,3,30,2,3.57833235230203e-07
2009,4,30,2,2.32321523130893e-07
2010,1,30,2,3.04614002383189e-07
2010,2,30,2,2.03766159417777e-07
2010,3,30,2,2.17335931947281e-07
2010,4,30,2,2.43508749785066e-07
2011,1,30,2,4.70530273526414e-07
2011,2,30,2,5.0614808488401e-07
2011,3,30,2,5.28868933614634e-07
2011,4,30,2,1.85639249687642e-07
2012,1,30,2,4.4441020668079e-07
2012,2,30,2,2.72626136966753e-07
2012,3,30,2,2.56271550716641e-07
2012,4,30,2,4.52773063654243e-07
2013,1,30,2,4.0819213620946e-07
2013,2,30,2,2.68248709353527e-07
2013,3,30,2,2.79645604298044e-07
2013,4,30,2,4.54729403718674e-07
2014,1,30,2,5.47920643789822e-07
2014,2,30,2,5.49110596028772e-07
2014,3,30,2,6.41643981099258e-07
2014,4,30,2,6.67954543839021e-07
2015,1,30,2,3.27521143511813e-07
2015,2,30,2,2.88975831313788e-07
2015,3,30,2,3.49514892352187e-07
2015,4,30,2,2.50972072098936e-07
2016,1,30,2,3.93375398208072e-07
2016,2,30,2,2.45997035039612e-07
2016,3,30,2,2.82336961528327e-07
2016,4,30,2,3.56150668160616e-07
2017,1,30,2,2.40455726259419e-07
2017,2,30,2,2.44073225506065e-07
2017,3,30,2,2.56288689373391e-07
2017,4,30,2,2.57393664253325e-07
2018,1,30,2,3.23261714485517e-07
2018,2,30,2,2.33977074366374e-07
2018,3,30,2,2.77934001103581e-07
2018,4,30,2,3.67995727737476e-07
2019,1,30,2,4.08347562162794e-07
2019,2,30,2,3.20902665521409e-07
2019,3,30,2,3.19466575936087e-07
2019,4,30,2,3.75947925601278e-07
2020,1,30,2,3.36896356713387e-07
2020,2,30,2,2.68358999690607e-07
2020,3,30,2,3.02160029159266e-07
2020,4,30,2,2.64674395414777e-07
2021,1,30,2,2.65770837561229e-07
2021,2,30,2,2.60238640397179e-07
2021,3,30,2,2.75420313347947e-07
2021,4,30,2,3.33808349225255e-07
2022,1,30,2,4.23930069973515e-07
2022,2,30,2,1.81213760033857e-07
2022,3,30,2,2.8050225488397e-07
2022,4,30,2,3.36252957182964e-07
2023,1,30,2,2.84756218448391e-07
2023,2,30,2,3.07173871242997e-07
2023,3,30,2,2.50174349579847e-07
2023,4,30,2,2.65828473477153e-07
2024,1,30,2,4.03777089217634e-07
2024,2,30,2,3.77202255207511e-07
2024,3,30,2,4.04955713801459e-07
2024,4,30,2,3.88283678193118e-07
1952,1,31,3,2.22895617574313e-06
1952,2,31,3,9.68189408327411e-07
1952,3,31,3,1.16621651697508e-06
1952,4,31,3,9.91626460198686e-07
1953,1,31,3,1.22127601371609e-06
1953,2,31,3,1.52639933265742e-06
1953,3,31,3,1.53120829889699e-06
1953,4,31,3,1.66725670631949e-06
1954,1,31,3,1.03551762898351e-06
1954,2,31,3,9.27231472102211e-07
1954,3,31,3,9.94237920103742e-07
1954,4,31,3,8.28642886278706e-07
1955,1,31,3,1.12246759443729e-06
1955,2,31,3,9.95581869973365e-07
1955,3,31,3,9.09513819861374e-07
1955,4,31,3,9.63377316405779e-07
1956,1,31,3,9.70180504793952e-07
1956,2,31,3,1.30210851240363e-06
1956,3,31,3,1.78806793145699e-06
1956,4,31,3,1.21257719950695e-06
1957,1,31,3,1.22009293590836e-06
1957,2,31,3,1.5460344884917e-06
1957,3,31,3,1.47501319252605e-06
1957,4,31,3,1.62603527797266e-06
1958,1,31,3,1.68048387261045e-06
1958,2,31,3,1.58214267442051e-06
1958,3,31,3,1.62469331066464e-06
1958,4,31,3,1.69334322165538e-06
1959,1,31,3,1.37564883349884e-06
1959,2,31,3,1.28692466205407e-06
1959,3,31,3,1.29322930138358e-06
1959,4,31,3,9.904446923139e-07
1960,1,31,3,8.73024939010025e-07
1960,2,31,3,8.40797376713381e-07
1960,3,31,3,1.03935982182068e-06
1960,4,31,3,9.53654204748447e-07
1961,1,31,3,9.01809545084683e-07
1961,2,31,3,1.03223360740479e-06
1961,3,31,3,9.53112059703384e-07
1961,4,31,3,9.27521455452529e-07
1962,1,31,3,8.71691305838002e-07
1962,2,31,3,8.25469847114946e-07
1962,3,31,3,7.96920835442954e-07
1962,4,31,3,8.46367212509595e-07
1963,1,31,3,8.50555656144007e-07
1963,2,31,3,9.01843337055069e-07
1963,3,31,3,7.85998033850878e-07
1963,4,31,3,8.63667209929138e-07
1964,1,31,3,9.92288729241427e-07
1964,2,31,3,7.26651860093878e-07
1964,3,31,3,7.17719951801671e-07
1964,4,31,3,6.43830756853717e-07
1965,1,31,3,9.61267152136085e-07
1965,2,31,3,9.59076552942352e-07
1965,3,31,3,1.15173152435649e-06
1965,4,31,3,9.20113931469371e-07
1966,1,31,3,8.66905091497401e-07
1966,2,31,3,7.66054575200823e-07
1966,3,31,3,7.00360043524011e-07
1966,4,31,3,8.29257220384772e-07
1967,1,31,3,6.80158257111728e-07
1967,2,31,3,7.25935206393781e-07
1967,3,31,3,7.2830061734427e-07
1967,4,31,3,7.75198281388595e-07
1968,1,31,3,8.87822685040739e-07
1968,2,31,3,8.21724403317331e-07
1968,3,31,3,6.55245862569217e-07
1968,4,31,3,7.86253554420353e-07
1969,1,31,3,1.14076318150365e-06
1969,2,31,3,9.36927637595885e-07
1969,3,31,3,9.21128304339488e-07
1969,4,31,3,7.21596391782071e-07
1970,1,31,3,6.0568498263135e-07
1970,2,31,3,6.87278075602657e-07
1970,3,31,3,5.55878245185788e-07
1970,4,31,3,4.73472345877459e-07
1971,1,31,3,5.38729336909252e-07
1971,2,31,3,6.10488400888852e-07
1971,3,31,3,6.25766678527028e-07
1971,4,31,3,6.30608937862071e-07
1972,1,31,3,8.34628817398827e-07
1972,2,31,3,8.82677872876993e-07
1972,3,31,3,9.97795073906533e-07
1972,4,31,3,9.71239565339262e-07
1973,1,31,3,9.38681812357749e-07
1973,2,31,3,6.50331823140216e-07
1973,3,31,3,5.52767819969049e-07
1973,4,31,3,5.31854959559263e-07
1974,1,31,3,5.0623266870239e-07
1974,2,31,3,7.03485986915967e-07
1974,3,31,3,7.36406771231714e-07
1974,4,31,3,7.97998816541283e-07
1975,1,31,3,7.85891009642995e-07
1975,2,31,3,8.60402235024249e-07
1975,3,31,3,8.49187857268644e-07
1975,4,31,3,9.0836001023105e-07
1976,1,31,3,6.8875675318782e-07
1976,2,31,3,9.53117030471092e-07
1976,3,31,3,9.06189495172934e-07
1976,4,31,3,9.69593871123614e-07
1977,1,31,3,8.71416984303598e-07
1977,2,31,3,9.08737106027134e-07
1977,3,31,3,1.08907731432682e-06
1977,4,31,3,1.24299993064599e-06
1978,1,31,3,8.94284750134692e-07
1978,2,31,3,8.06717549700128e-07
1978,3,31,3,8.24964050861036e-07
1978,4,31,3,7.77004464800254e-07
1979,1,31,3,7.47310075066452e-07
1979,2,31,3,1.00469655313513e-06
1979,3,31,3,1.08282977233382e-06
1979,4,31,3,9.36420344944294e-07
1980,1,31,3,8.33516140685508e-07
1980,2,31,3,8.97313555679974e-07
